Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Dist_SMA_50,Dist_SMA_200,Ret_1d,Ret_5d,Day_Range,Future_Close,Target,Ticker
2020-10-19,986.757080078125,1010.5622392043457,977.2123844835455,993.0371147391401,31200385,990.4589184570312,758.6452781677247,43.34382543293892,3.011313612387312,8.06958933358468,0.9962625018464439,1.3006830840117196,0.00018386474285914112,-0.027201017817829243,0.03358369412966083,920.057373046875,0,RELIANCE.NS
2020-10-20,977.552490234375,994.3747895538761,975.8974318290545,988.0267509433463,18482288,990.7858447265625,760.1564195251465,34.75275857385243,0.3861978451026289,6.5329110358882705,0.98664357735567,1.285988600668572,-0.00932812140858541,-0.05472018425620795,0.01870127272078391,922.5059814453125,0,RELIANCE.NS
2020-10-21,963.3600463867188,993.9213260213652,951.1853919731954,983.0389831777511,34082321,990.7024145507812,761.5391136169434,32.465181298120356,-2.807078665205154,4.664913095669586,0.9724010280357896,1.2650171595405302,-0.014518344528234528,-0.07121300637947459,0.04347328516924381,912.0543212890625,0,RELIANCE.NS
2020-10-22,955.3569946289062,966.9421636132013,948.1247869738381,964.629675395071,30802210,990.5151477050781,762.8776542663575,31.601783439170433,-5.915364063759625,2.548857663783744,0.9645051838352703,1.2523069581159143,-0.00830743582093696,-0.04511665874721449,0.019507358232221453,919.0597534179688,0,RELIANCE.NS
2020-10-23,958.1229248046875,968.0757029274415,950.5733065108839,954.9262077062731,23422125,990.4335302734376,764.3097651672364,34.23930626141525,-8.062574842749768,0.4265711624770414,0.9673773105603263,1.2535793319283883,0.0028951796986169676,-0.02883991493224225,0.018328532901613723,931.574462890625,0,RELIANCE.NS
2020-10-26,920.057373046875,953.0898169372152,915.2509933655792,953.0898169372152,37324416,989.6654174804687,765.4998793029786,27.15231563336738,-12.689549526710039,-2.196652975360375,0.929665073464116,1.2019040079857723,-0.03972929858198737,-0.06759486035404905,0.0397012148269848,851.2944946289062,0,RELIANCE.NS
2020-10-27,922.5059814453125,934.0004191107241,909.129746090359,922.6873248555474,36478896,989.1498669433594,766.727847442627,18.58267919616226,-15.974731306841022,-4.952268641656505,0.9326250877392445,1.203172657054617,0.00266136489980906,-0.05631054018988246,0.026954605694034798,839.0291748046875,0,RELIANCE.NS
2020-10-28,912.0543212890625,933.0255097674074,910.2179195551136,925.8159103792913,29924017,988.1786169433594,767.8256062316894,18.33469799551831,-19.200294123603612,-7.801873738045927,0.9229650446295173,1.1878404599779033,-0.01132963944567078,-0.053257061355293844,0.02463512449570014,867.5046997070312,0,RELIANCE.NS
2020-10-29,919.0597534179688,925.9066057760115,902.781605556934,905.5021761803395,30655304,987.2295849609375,768.9591749572754,22.03863546246515,-20.94979981735264,-10.43145895390727,0.9309483502303407,1.1951996716458102,0.0076809373799193725,-0.037993379872658606,0.02553831545344837,886.4581298828125,0,RELIANCE.NS
2020-10-30,931.574462890625,936.3808421846666,916.7472424236149,922.0523759951716,34021563,986.8437145996094,770.1641523742676,26.795443983680798,-21.083426601618157,-12.56185248344945,0.9439939162692963,1.2095791007913839,0.013616861608958697,-0.027708826526068542,0.021293367136396225,920.0801391601562,0,RELIANCE.NS
2020-11-02,851.2944946289062,919.105110257612,842.9967150587656,919.105110257612,99366895,984.9900866699219,770.999715423584,11.7227231015614,-27.351953013568846,-15.51987258947333,0.8642670684199301,1.1041437209366656,-0.08617665195824964,-0.07473759836329841,0.08280706346797945,929.8514404296875,1,RELIANCE.NS
2020-11-03,839.0291748046875,865.600239943717,832.0917105106013,856.9850494031045,88691623,982.7650988769532,771.786365814209,10.045717272457026,-32.92991855861237,-19.00188178330114,0.8537433571496192,1.0871261944612607,-0.014407845817874576,-0.09048917656863309,0.03910048309063813,945.2001342773438,1,RELIANCE.NS
2020-11-04,867.5046997070312,874.6689636295238,832.9532636853438,832.9532636853438,80180117,981.233408203125,772.6839674377442,22.267419394745943,-34.65329791299098,-22.13216500923911,0.8840961716699409,1.1227160602072759,0.03393865881835678,-0.04884535991131156,0.050081681365424686,905.5928344726562,1,RELIANCE.NS
2020-11-05,886.4581298828125,889.1560327894556,876.0292050636682,886.4354619573483,37205373,979.5801989746094,773.5799317932128,29.551789511055787,-34.09665998102594,-24.525064003596476,0.9049367584305258,1.145916657672259,0.021848216133217635,-0.0354728007770021,0.014808554360857693,897.7938842773438,1,RELIANCE.NS
